거래소코드,회사명,회계년도,PEG
2240,고려제강(주),2012,-2.382076060241131
2240,고려제강(주),2013,-0.6155530405957778
2240,고려제강(주),2014,-1.528411576256566
2240,고려제강(주),2015,-1.1516362754714629
2240,고려제강(주),2016,8.432228250138342
2240,고려제강(주),2017,3.4035317023508176
2240,고려제강(주),2018,-12.702911010448995
2240,고려제강(주),2019,-1.4300057175987082
32560,(주)황금에스티,2011,0.14726473776621796
32560,(주)황금에스티,2012,-0.32664363033185895
32560,(주)황금에스티,2013,-0.35574013460093024
32560,(주)황금에스티,2014,-0.9853178706529266
32560,(주)황금에스티,2015,-1.7051228665612261
32560,(주)황금에스티,2016,0.2525859914947755
32560,(주)황금에스티,2017,0.46016281066962983
32560,(주)황금에스티,2018,0.7604677517634459
32560,(주)황금에스티,2019,-1.9998214302904211
10690,(주)화신,2011,0.20242531556557308
10690,(주)화신,2012,-0.8288609235308597
10690,(주)화신,2013,-0.5616307270053901
10690,(주)화신,2014,0.40628166742948413
10690,(주)화신,2015,0.39680629978373727
10690,(주)화신,2016,-8.971985425964618
10690,(주)화신,2017,
10690,(주)화신,2018,
10690,(주)화신,2019,-0.2740624982328345
13520,(주)화승코퍼레이션,2011,0.2647277769282818
13520,(주)화승코퍼레이션,2012,-0.5663811810616768
13520,(주)화승코퍼레이션,2013,-1.7498865006577118
13520,(주)화승코퍼레이션,2014,0.6652227757806451
13520,(주)화승코퍼레이션,2015,0.025206609248929916
13520,(주)화승코퍼레이션,2016,0.021776774270452267
13520,(주)화승코퍼레이션,2017,
13520,(주)화승코퍼레이션,2018,
13520,(주)화승코퍼레이션,2019,-0.09606791865381265
2320,(주)한진,2011,0.0
2320,(주)한진,2012,
2320,(주)한진,2013,
2320,(주)한진,2014,0.16798086490490513
2320,(주)한진,2015,0.022270606521151006
2320,(주)한진,2016,0.05572858795364286
2320,(주)한진,2017,-0.8330292718359947
2320,(주)한진,2018,-0.542976833642406
2320,(주)한진,2019,-1.1791795983868327
19490,(주)하이트론씨스템즈,2011,
19490,(주)하이트론씨스템즈,2012,6.89226750942363
19490,(주)하이트론씨스템즈,2013,-0.0
19490,(주)하이트론씨스템즈,2014,
19490,(주)하이트론씨스템즈,2015,
19490,(주)하이트론씨스템즈,2016,0.28081701973633255
19490,(주)하이트론씨스템즈,2017,-0.0
19490,(주)하이트론씨스템즈,2018,1.06041766240091
19490,(주)하이트론씨스템즈,2019,
4590,(주)한국가구,2011,1.177296503399438
4590,(주)한국가구,2012,-0.19626602685441072
4590,(주)한국가구,2013,1.9858981648716636
4590,(주)한국가구,2014,0.22013756440115595
4590,(주)한국가구,2015,1.1402842418959542
4590,(주)한국가구,2016,1.4246739743263996
4590,(주)한국가구,2017,-8.265097585813203
4590,(주)한국가구,2018,4.423399265857364
4590,(주)한국가구,2019,-0.46305845491409703
39340,(주)한국경제티브이,2011,0.17828743024920132
39340,(주)한국경제티브이,2012,-0.38923485094135835
39340,(주)한국경제티브이,2013,-0.6381204914589917
39340,(주)한국경제티브이,2014,-1.4530856395395875
39340,(주)한국경제티브이,2015,0.27439776338096256
39340,(주)한국경제티브이,2016,0.09451333154663841
39340,(주)한국경제티브이,2017,0.42872732144247566
39340,(주)한국경제티브이,2018,1.0527463913069082
39340,(주)한국경제티브이,2019,8.408676867331238
6200,(주)한국전자홀딩스,2011,0.39690317979109613
6200,(주)한국전자홀딩스,2012,
6200,(주)한국전자홀딩스,2013,-1.9497824066498761
6200,(주)한국전자홀딩스,2014,-0.9150205931732978
6200,(주)한국전자홀딩스,2015,0.7283003482142746
6200,(주)한국전자홀딩스,2016,
6200,(주)한국전자홀딩스,2017,-1.3702253348024633
6200,(주)한국전자홀딩스,2018,
6200,(주)한국전자홀딩스,2019,0.0
17960,(주)한국카본,2011,-0.6439910438246017
17960,(주)한국카본,2012,-1.0721795751737049
17960,(주)한국카본,2013,0.3603271057743164
17960,(주)한국카본,2014,0.31803192318453605
17960,(주)한국카본,2015,0.9784208611990186
17960,(주)한국카본,2016,-1.0371792927639027
17960,(주)한국카본,2017,-6.836326392053603
17960,(주)한국카본,2018,
17960,(주)한국카본,2019,1.5559093558685346
21650,(주)한국큐빅,2011,0.1083301443698655
21650,(주)한국큐빅,2012,-0.6109443975279251
21650,(주)한국큐빅,2013,-1.647060315496158
21650,(주)한국큐빅,2014,1.4506134359153793
21650,(주)한국큐빅,2015,-1.2046851291891258
21650,(주)한국큐빅,2016,-2.2386271683505807
21650,(주)한국큐빅,2017,-0.9284455239137007
21650,(주)한국큐빅,2018,-7.470121405583645
21650,(주)한국큐빅,2019,0.1547365157293212
30520,(주)한글과컴퓨터,2011,3.825444370775335
30520,(주)한글과컴퓨터,2012,-5.254007175768831
30520,(주)한글과컴퓨터,2013,0.4684223038602137
30520,(주)한글과컴퓨터,2014,1.2051685773616914
30520,(주)한글과컴퓨터,2015,0.757844423007156
30520,(주)한글과컴퓨터,2016,-91.07687309341853
30520,(주)한글과컴퓨터,2017,-7.976946756674923
30520,(주)한글과컴퓨터,2018,-1.725112108221145
30520,(주)한글과컴퓨터,2019,41.448003277441146
53690,(주)한미글로벌건축사사무소,2011,-0.8783523243482763
53690,(주)한미글로벌건축사사무소,2012,-0.8436927612201197
53690,(주)한미글로벌건축사사무소,2013,-0.6457602070507882
53690,(주)한미글로벌건축사사무소,2014,1.8026986420646027
53690,(주)한미글로벌건축사사무소,2015,-5.470344593205472
53690,(주)한미글로벌건축사사무소,2016,1.9526836177753615
53690,(주)한미글로벌건축사사무소,2017,-3.9267497377802814
53690,(주)한미글로벌건축사사무소,2018,-1.8655306759741186
53690,(주)한미글로벌건축사사무소,2019,-1.371184118008941
47080,(주)한빛소프트,2011,0.0
47080,(주)한빛소프트,2012,
47080,(주)한빛소프트,2013,0.0
47080,(주)한빛소프트,2014,0.0
47080,(주)한빛소프트,2015,0.0
47080,(주)한빛소프트,2016,
47080,(주)한빛소프트,2017,0.6379990383784717
47080,(주)한빛소프트,2018,
47080,(주)한빛소프트,2019,0.0
9240,(주)한샘,2011,0.44638052227554886
9240,(주)한샘,2012,0.7676470459953142
9240,(주)한샘,2013,0.5683474960113758
9240,(주)한샘,2014,1.0375029093150365
9240,(주)한샘,2015,1.0898456712746454
9240,(주)한샘,2016,1.3686547902250328
9240,(주)한샘,2017,1.879203446536133
9240,(주)한샘,2018,-2.9721597209933392
9240,(주)한샘,2019,-1.565909970248111
20000,(주)한섬,2011,0.5154994694804161
20000,(주)한섬,2012,1.5367423443230586
20000,(주)한섬,2013,-1.26442497312987
20000,(주)한섬,2014,-0.9702796981544434
20000,(주)한섬,2015,1.5473047245256069
20000,(주)한섬,2016,3.38775729521947
20000,(주)한섬,2017,3.5928340904427634
20000,(주)한섬,2018,-3.5912925551828105
20000,(주)한섬,2019,1.2300365640266522
14680,(주)한솔케미칼,2011,0.22528412031881132
14680,(주)한솔케미칼,2012,0.35038795013594676
14680,(주)한솔케미칼,2013,1.6765340298507625
14680,(주)한솔케미칼,2014,1.0997770617647808
14680,(주)한솔케미칼,2015,179.65847814034913
14680,(주)한솔케미칼,2016,0.4587697710794385
14680,(주)한솔케미칼,2017,0.6995958126724016
14680,(주)한솔케미칼,2018,0.486286828605953
14680,(주)한솔케미칼,2019,1.132047785305774
25750,(주)한솔홈데코,2011,0.16473380002073848
25750,(주)한솔홈데코,2012,-1.8575800936041682
25750,(주)한솔홈데코,2013,-1.0040899141296016
25750,(주)한솔홈데코,2014,
25750,(주)한솔홈데코,2015,1.3519752706507195
25750,(주)한솔홈데코,2016,6.3094396304198614
25750,(주)한솔홈데코,2017,0.08610292776925339
25750,(주)한솔홈데코,2018,-2.54701602137615
25750,(주)한솔홈데코,2019,
14130,(주)한익스프레스,2011,
14130,(주)한익스프레스,2012,0.6029688764889534
14130,(주)한익스프레스,2013,2.522016288271264
14130,(주)한익스프레스,2014,0.03670904976638147
14130,(주)한익스프레스,2015,0.9770627093008648
14130,(주)한익스프레스,2016,4.21147590357795
14130,(주)한익스프레스,2017,-0.3879151295132016
14130,(주)한익스프레스,2018,-0.1439205475662754
14130,(주)한익스프레스,2019,-0.4627655636365283
3480,(주)한진중공업홀딩스,2011,-0.8590178670530902
3480,(주)한진중공업홀딩스,2012,2.043621358128788
3480,(주)한진중공업홀딩스,2013,0.6405842204710563
