회계년도,거래소코드,PBR,PER,기업규모코드,매출액,매출액순이익률,매출액증가율,성장비용,영업손익,자기자본회전률,종가,주당순손익,총자본회전률,회사명,부채자본비율,현금흐름스코어,수익률,투자신호,PEG
2016,65510,3.03,16.98,20.0,66923364.0,16.99,-7.95,619519.0,12434064.0,0.85,13650.0,0.0,0.53,(주)휴비츠,0.769870863489187,2,-2.197802197802198,0,0.1697057452074806
2017,65510,2.635,64.505,20.0,70387883.0,4.92,5.18,923820.0,9109796.0,0.84,13350.0,0.0,0.5,(주)휴비츠,0.7584687464886676,2,-39.70037453183521,0,1.9179345149493976
2011,115160,0.7150000000000001,8.73,30.0,994024451.0,3.5,-2.17,1992764.0,42098333.0,2.6,11200.0,0.0,1.29,(주)휴맥스,0.7308930739804624,2,-0.4464285714285714,0,1000.0
2012,115160,0.62,26.935,30.0,1024313054.0,1.34,3.05,2190178.0,30737102.0,2.56,11150.0,622.0,1.38,(주)휴맥스,0.6286911766909402,1,8.071748878923767,1,1.5475054587243509
2013,115160,0.6799999999999999,23.905,30.0,1139415150.0,2.28,11.24,3055384.0,30484080.0,2.7,12050.0,0.0,1.47,(주)휴맥스,0.6249555503760119,2,14.937759336099584,1,-0.7784678191088475
2014,115160,0.625,8.88,30.0,1443770497.0,1.42,26.71,0.0,33054745.0,3.23,13850.0,0.0,1.62,(주)휴맥스,0.69256207523419,1,22.74368231046932,1,-5.425828785287697
2015,115160,0.86,19.41,30.0,1426664921.0,2.11,-1.18,0.0,48534738.0,3.02,17000.0,0.0,1.51,(주)휴맥스,0.5755828324900719,2,-19.11764705882353,0,0.6910750586150864
2016,115160,0.81,0.0,30.0,1350510226.0,0.24,-5.34,0.0,20066326.0,2.81,13750.0,0.0,1.37,(주)휴맥스,0.7831880447740784,2,-35.12727272727273,0,1000.0
2017,115160,0.595,24.69,30.0,1611589047.0,-1.97,19.33,0.0,7994736.0,3.51,8920.0,-1373.0,1.45,(주)휴맥스,1.2927157391400734,1,-39.46188340807175,0,-0.8008570557433782
2011,81660,2.465,18.82,30.0,764406105.0,0.09,24.18,33757109.0,106603493.0,2.49,77700.0,0.0,1.01,(주)휠라홀딩스,1.2442762471332978,2,-17.63191763191763,0,0.3906284512487514
2012,81660,2.1950000000000003,25.94,30.0,670437697.0,18.15,-12.29,27921482.0,91443016.0,1.88,64000.0,0.0,0.78,(주)휠라홀딩스,0.9395110309663112,2,23.4375,1,0.0
2013,81660,1.945,40.29,30.0,736135754.0,13.06,9.8,26118638.0,98129305.0,1.62,79000.0,0.0,0.8,(주)휠라홀딩스,0.9362360589432388,2,41.13924050632912,1,0.0
2014,81660,2.81,107.99,30.0,797475548.0,7.58,8.33,28292233.0,93548938.0,1.52,111500.0,0.0,0.79,(주)휠라홀딩스,0.8144548092526909,2,-15.336322869955158,0,-2.6963728725388
2015,81660,3.15,0.0,30.0,815749832.0,-16.34,2.29,27741558.0,80561575.0,1.57,94400.0,0.0,0.81,(주)휠라홀딩스,0.8158389211988929,2,-25.31779661016949,0,1000.0
2016,81660,2.655,0.0,30.0,967128445.0,32.17,18.56,64571687.0,11837651.0,1.09,70500.0,0.0,0.44,(주)휠라홀딩스,1.0410476968018574,1,15.74468085106383,1,1000.0
2017,81660,2.48,0.0,30.0,2530323757.0,4.27,150.87,256361116.0,217465972.0,2.0,81600.0,0.0,0.78,(주)휠라홀딩스,0.7543370106480469,2,-34.43627450980392,0,1000.0
2011,93370,4.8100000000000005,39.72,30.0,242411857.0,6.05,26.01,3485776.0,25399430.0,2.01,7960.0,0.0,0.88,(주)후성,1.4232363963057573,2,-38.88190954773869,0,-11.635035707863194
2012,93370,3.76,30.0,30.0,222678376.0,7.57,-8.14,645330.0,-5876604.0,1.54,4865.0,0.0,0.71,(주)후성,0.9649779001983574,2,-31.86022610483042,0,0.8626057565605013
2013,93370,3.06,0.0,30.0,203418691.0,-14.89,-8.65,590813.0,-15901704.0,1.39,3315.0,0.0,0.66,(주)후성,1.1133163811778577,2,-3.770739064856712,0,1000.0
2014,93370,5.449999999999999,0.0,30.0,187022363.0,-36.73,-8.06,537860.0,-9215010.0,1.93,3190.0,0.0,0.72,(주)후성,2.850334858382586,2,68.02507836990596,1,1000.0
2015,93370,4.335,26.74,30.0,215238476.0,6.37,15.09,644840.0,15626871.0,2.7,5360.0,0.0,0.87,(주)후성,1.678710053509335,2,36.940298507462686,1,-2.821581833631895
2016,93370,3.695,8.555,30.0,192073256.0,33.52,-10.76,408218.0,36433577.0,1.47,7340.0,0.0,0.67,(주)후성,0.7655298736520378,2,38.283378746594,1,0.1433034992303856
2017,93370,4.885,28.655,30.0,248838270.0,11.34,29.55,472007.0,35482506.0,1.34,10150.0,0.0,0.79,(주)후성,0.5802050400630249,2,-26.89655172413793,0,0.8386823957632636
2011,4800,0.995,25.985,10.0,11342140662.0,-0.83,11.78,0.0,288837595.0,3.73,53600.0,0.0,0.87,(주)효성,1.9530659325928417,1,37.3134328358209,1,-3.481573883487368
2012,4800,0.7,10.925,10.0,12611749872.0,0.85,11.19,0.0,189306841.0,4.22,73600.0,0.0,0.92,(주)효성,1.7100272178838232,2,-4.483695652173913,0,-0.635387987524053
2013,4800,0.91,0.0,10.0,12579156963.0,-1.88,-0.26,0.0,485912289.0,4.42,70300.0,0.0,0.92,(주)효성,2.033655730889822,2,-2.702702702702702,0,1000.0
2014,4800,0.97,13.45,10.0,12177134355.0,2.4,-3.2,0.0,600346262.0,4.37,68400.0,0.0,0.89,(주)효성,1.849538727012608,2,71.78362573099415,1,0.6861253942933586
2015,4800,1.38,12.035,10.0,12458453530.0,4.22,2.31,0.0,950168850.0,3.91,117500.0,0.0,0.9,(주)효성,1.59039252537655,2,23.82978723404256,1,0.6615187638135112
2016,4800,1.435,8.445,10.0,11929113072.0,3.99,-4.25,0.0,1016346709.0,3.26,145500.0,0.0,0.85,(주)효성,1.2475220752919125,2,-4.123711340206185,0,0.1559934949610925
2017,4800,1.585,16.5,10.0,12546410309.0,2.72,5.17,0.0,770807277.0,3.26,139500.0,0.0,0.88,(주)효성,1.2581851540282638,2,-64.15770609318996,0,0.84306191975016
2011,10060,3.0250000000000004,13.6,10.0,4275871267.0,20.22,28.71,0.0,1114049828.0,1.42,219500.0,0.0,0.67,OCI(주),0.6897072798134705,2,-24.601366742596813,0,0.5274195657194672
2012,10060,1.665,105.205,10.0,3218459512.0,0.39,-24.73,0.0,154782846.0,0.88,165500.0,0.0,0.44,OCI(주),0.7761545835933917,2,15.40785498489426,1,-2.0688924509789373
2013,10060,1.385,0.0,10.0,2955507111.0,-9.74,-8.17,0.0,-68390163.0,0.86,191000.0,0.0,0.41,OCI(주),0.8946357388155992,2,-58.84816753926702,0,1000.0
2014,10060,1.155,156.59,10.0,3139651588.0,1.35,6.23,0.0,45900568.0,0.96,78600.0,0.0,0.43,OCI(주),0.8040913382037902,2,-4.580152671755725,0,-2.2721288660759376
2015,10060,0.8500000000000001,0.0,10.0,2301520602.0,7.91,-26.7,0.0,-68390163.0,0.71,75000.0,0.0,0.31,OCI(주),0.8506803825660629,2,4.933333333333334,0,1000.0
2016,10060,0.6950000000000001,6.289999999999999,10.0,2739362364.0,8.01,19.02,0.0,121353921.0,0.84,78700.0,0.0,0.4,OCI(주),0.626871555631418,2,72.80813214739517,1,0.1355286474429432
2017,10060,0.78,15.125,10.0,3631633189.0,6.41,32.57,0.0,284447725.0,1.09,136000.0,0.0,0.59,OCI(주),0.5835345738334182,1,-21.323529411764707,0,0.1562341711042089
2011,96770,1.57,10.33,10.0,30109434000.0,4.65,27.27,275721000.0,1685925000.0,5.18,142000.0,0.0,2.12,SK이노베이션(주),0.1845329439132136,1,22.53521126760564,1,0.4359045439422065
2012,96770,1.28,15.695,10.0,30109434000.0,1.61,7.25,330431000.0,1685925000.0,4.7,174000.0,0.0,2.13,SK이노베이션(주),0.1554196769739572,2,-18.67816091954023,0,1.3233390987849476
2013,96770,1.255,61.38,10.0,30109434000.0,1.17,-9.08,306093000.0,1382891484.0,4.01,141500.0,0.0,1.93,SK이노베이션(주),0.0998241043123198,2,-39.85865724381625,0,-1.4612945670178674
2014,96770,0.8799999999999999,73.625,10.0,30109434000.0,-0.82,-1.21,260710000.0,-68390163.0,3.99,85100.0,0.0,1.87,SK이노베이션(주),0.1167066561818625,2,52.76145710928319,1,-1.2992006563353828
2015,96770,0.91,0.0,10.0,30109434000.0,1.79,-26.58,229277000.0,1685925000.0,2.92,130000.0,0.0,1.46,SK이노베이션(주),0.1136965419581926,2,12.692307692307692,1,1000.0
2016,96770,1.3250000000000002,0.0,10.0,30109434000.0,4.36,-18.27,218617000.0,1685925000.0,2.24,146500.0,0.0,1.24,SK이노베이션(주),0.1106463012740441,2,39.59044368600683,1,1000.0
2017,96770,1.475,10.645,10.0,30109434000.0,4.64,17.06,198507000.0,1685925000.0,2.46,204500.0,0.0,1.38,SK이노베이션(주),0.130527939446034,2,-12.224938875305623,0,0.0844744255782201
2011,64960,1.075,11.845,30.0,910484643.0,4.47,33.62,0.0,61922495.0,2.02,30800.0,0.0,1.1,SNT모티브(주),0.7744030770812755,1,-23.863636363636363,0,4.304267800112437
2012,64960,0.8049999999999999,15.075,30.0,905113613.0,1.74,-0.59,0.0,34398464.0,1.86,23450.0,0.0,1.01,SNT모티브(주),0.7493113441715835,2,16.417910447761194,1,0.3786348477415082
2013,64960,0.8,11.38,30.0,960297250.0,3.11,6.1,0.0,51962999.0,1.67,27300.0,0.0,0.91,SNT모티브(주),0.6993839424274456,1,53.84615384615385,1,-1.146553340085161
2014,64960,0.995,11.3,30.0,1099294316.0,5.78,14.47,0.0,69008650.0,1.67,42000.0,0.0,0.95,SNT모티브(주),0.6319835167055712,2,104.28571428571428,1,-4.235050485804645
